Date,Poids
2013-10-28,84.1
2013-11-11,85.6
2013-11-24,85.2
2013-12-02,84.4
2013-12-30,83.5
2014-01-10,82.4
2014-02-08,83.5
2015-03-24,83
2015-03-28,82.7
2015-03-31,82.7
2015-04-03,82.7
2015-04-07,83.7
2015-04-09,82.9
2015-04-10,83.4
2015-04-12,82.7
2015-04-19,83.1
2015-04-20,82.7
2015-04-21,82.3
2015-04-26,81.8
2015-04-27,81.8
2015-04-30,81.9
2015-05-02,81.7
2015-05-03,81.6
2015-05-06,81.6
2015-05-08,81.7
2015-05-10,80.9
2015-05-19,81.3
2015-05-20,81.5
2015-05-25,81.5
2015-05-31,81.8
2015-06-02,81.5
2015-06-04,81.3
2015-06-09,79
2015-06-22,80.7
2015-06-23,80.5
2015-06-25,80.1
2015-06-27,80.6
2015-06-30,80.8
2015-07-07,80.6
2015-07-14,80.6
2015-07-15,80.7
2015-07-16,80.4
2015-07-18,79.3
2015-07-19,79.3
2015-07-20,79.8
2015-07-22,80.3
2015-07-23,80
2015-07-24,79.8
2015-07-25,79.9
2015-07-27,80.4
2015-10-06,79.4
2015-10-07,79.5
2015-10-11,79.2
2015-10-12,80.2
2015-10-24,78.7
2015-10-31,78.3
2015-11-07,79.1
2015-11-09,79.9
2015-11-10,79
2015-11-12,79.6
2015-11-15,78.6
2015-11-20,77.5
2015-11-28,77.1
2015-12-28,79.5
2016-01-09,77.3
2016-01-12,77
2016-05-16,78.7
2016-05-18,78.6
2016-06-20,80
2016-07-08,81.6
2016-07-11,81
2016-07-13,81.2
2016-07-14,80.6
2016-07-15,80.4
2016-07-16,80.2
2016-07-17,80
2016-07-18,80.5
2016-07-19,80
2016-07-20,79.4
2016-07-21,79.4
2016-07-22,79.4
2016-07-24,79.4
2016-07-25,80
2016-07-26,79
2016-07-27,79
2016-07-28,78.7
2016-07-29,78
2016-07-30,76.8
2016-07-31,77.6
2016-08-01,77.8
2016-08-02,78.2
2016-08-03,78.6
2016-08-04,77.5
2016-08-05,77.8
2016-08-06,77.7
2016-08-07,77.7
2016-08-08,78.1
2016-08-09,77
2016-08-10,76.7
2016-08-11,76.2
2016-08-12,76.2
2016-08-13,77
2016-08-14,76.9
2016-08-15,76.6
2016-08-16,76.8
2016-08-17,76.2
2016-08-18,76.9
2016-08-19,76.3
2016-08-20,75.8
2016-08-21,75.2
2016-08-22,75.2
2016-08-24,76.4
2016-08-25,75.8
2016-08-29,75
2016-08-30,75.1
2016-09-02,75.8
2016-09-05,76.1
2016-09-06,75.4
2016-09-07,75.4
2016-09-09,75.4
2016-10-13,74.4
2016-10-16,75.4
2016-10-17,76.4
2016-10-18,75.6
2016-10-19,75.9
2016-10-20,75.4
2016-10-21,75.3
2016-10-24,75.9
2016-10-26,75.3
2016-10-27,75.7
2016-10-28,75.9
2016-10-30,75.2
2016-10-31,74.3
2016-11-01,74.9
2016-11-03,74.9
2016-11-04,75.1
2016-11-05,75.3
2016-11-06,74.7
2016-11-07,75.1
2016-11-08,74.42
2016-11-09,73.9
2016-11-10,74.1
2016-11-11,74.9
2016-11-12,73.9
2016-11-13,74.2
2016-11-14,74
2016-11-15,74.2
2016-11-17,74.9
2016-11-18,74.3
2016-11-19,74.6
2016-11-20,74.9
2016-11-22,74.6
2016-11-23,74.8
2016-11-24,74.5
2016-11-25,74.5
2016-11-27,74.4
2016-11-28,75.2
2016-11-30,75.8
2016-12-01,76
2016-12-02,75.8
2016-12-03,74.4
2016-12-04,75.5
2016-12-05,74.9
2016-12-06,74.5
2016-12-07,73.6
2016-12-08,73.6
2016-12-09,74.2
2016-12-10,74.5
2016-12-14,75
2016-12-15,74.9
2016-12-16,74.9
2016-12-18,75
2016-12-19,74.2
2016-12-20,74.9
2016-12-21,73.4
2016-12-22,74.1
2016-12-23,74.3
2016-12-26,74.4
2016-12-27,73.9
2016-12-28,73.6
2016-12-29,73.1
2016-12-30,72
2017-01-02,73.6
2017-01-03,74.3
2017-01-04,74.4
2017-01-06,74.3
2017-01-07,73.5
2017-01-08,73.2
2017-01-09,73.6
2017-01-10,73.1
2017-01-11,73.3
2017-01-12,74
2017-01-13,73.7
2017-01-14,73.6
2017-01-15,73.5
2017-01-16,73.4
2017-01-17,73.3
2017-01-18,74.6
2017-01-19,74.8
2017-01-20,74.7
2017-01-21,73.7
2017-01-22,73.4
2017-01-23,74
2017-01-24,73.3
2017-01-25,73.2
2017-01-26,73
2017-01-27,73.9
2017-01-28,73.6
2017-01-30,73.9
2017-01-31,73.6
2017-02-01,73.3
2017-02-02,72.7
2017-02-03,73.6
2017-02-04,72.5
2017-02-05,72.9
2017-02-06,72.9
2017-02-07,72.7
2017-02-08,72.1
2017-02-09,73.1
2017-02-10,72.7
2017-02-11,72.4
2017-02-12,72.1
2017-02-13,72.8
2017-02-14,73.5
2017-02-15,72.1
2017-02-16,72.8
2017-02-17,71.9
2017-02-18,73
2017-02-20,71.8
2017-02-21,72.2
2017-02-22,71.9
2017-02-25,71.4
2017-02-26,71.2
2017-02-27,71.7
2017-02-28,72.2
2017-03-01,71.3
2017-03-02,71.6
2017-03-03,71.9
2017-03-04,71.3
2017-03-06,72.2
2017-03-07,71.4
2017-03-08,70.9
2017-03-09,71.7
2017-03-10,71.6
2017-03-17,72.7
2017-03-19,72.8
2017-03-20,72.3
2017-03-21,72.2
2017-03-22,72.1
2017-03-23,71.8
2017-03-24,71.1
2017-03-25,71.2
2017-03-26,73
2017-03-30,71.5
2017-04-03,71.5
2017-04-06,71.0
2017-04-07,71.4
2017-04-08,70.5
2017-04-10,72
2017-04-11,71
2017-04-12,71.6
2017-04-13,71.9
2017-04-14,71.8
2017-04-15,71.2
2017-04-16,71
2017-04-18,71.9
2017-04-19,71.8
2017-04-20,71.6
2017-04-21,72
2017-04-22,71.6
2017-04-23,70.7
2017-04-24,71.9
2017-04-25,71.8
2017-04-26,71.6
2017-04-27,71.7
2017-04-29,71.2
2017-04-30,70.2
2017-05-01,72.2
2017-05-02,71.1
2017-05-03,72
2017-05-05,71.3
2017-05-08,73.4
2017-05-09,71.7
2017-05-10,73
2017-05-11,72.1
2017-05-12,72.1
2017-05-13,71.7
2017-05-14,71.6
2017-05-16,71.8
2017-05-17,71.5
2017-05-18,71.5
2017-05-19,71.6
2017-05-20,70.1
2017-05-21,72.1
2017-05-22,71.2
2017-05-23,71.8
2017-05-24,71.2
2017-05-25,71.9
2017-05-26,71.7
2017-05-27,72.4
2017-05-28,71.4
2017-05-29,70.5
2017-05-31,71.1
2017-06-01,71.2
2017-06-03,70.6
2017-06-04,70.9
2017-06-05,71.3
2017-06-06,70.8
2017-06-07,70.7
2017-06-08,71
2017-06-09,71.1
